borough,neighborhood,building_class_category,tax_class_at_present,block,lot,building_class_at_present,address,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_date,,
Bronx,Bathgate,01 One Family Dwellings,1,3036,62,A1,2044 Bathgate Ave,2,0,1,1900,2394,1899,1,B1,19-09-2019,,
Bronx,Bathgate,01 One Family Dwellings,1,3039,70,A1,2094 Washington Ave,2,0,1,2432,2394,1899,1,B1,18-02-2019,,
Bronx,Bathgate,01 One Family Dwellings,1,3045,63,S1,2249 Bassford Avenue,2,0,1,2361,2394,1931,1,B1,01-08-2019,,
Bronx,Bathgate,02 Two Family Dwellings,1,3046,55,B1,493 Fletcher Place,2,0,1,1556,1494,1993,1,B1,19-08-2019,,
Bronx,Baychester,02 Two Family Dwellings,1,3050,35,B1,506 East 183 Street,2,0,1,3346,2308,1994,1,B3,29-11-2018,,
Bronx,Baychester,02 Two Family Dwellings,1,3050,39,B1,505 East 182 Street,2,1,2,2033,2400,1995,1,B1,24-10-2019,,
Bronx,Baychester,02 Two Family Dwellings,1,3050,62,B1,2244 Bassford Avenue,2,0,2,2785,2565,1995,1,B1,23-08-2019,,
Bronx,Baychester,02 Two Family Dwellings,1,3050,152,B3,507 East 183 Street,2,0,2,2182,2588,1899,1,B1,24-04-2019,,
Brooklyn,Bath Beach,44 Condo Parking,4,6377,1123,RG,"8616 21st Avenue, P23",0,0,0,0,153,2015,4,RG,07-06-2019,,
Brooklyn,Bath Beach,46 Condo Store Buildings,4,6377,1126,RK,"8616 21st Avenue, 1a",0,0,0,0,2278,2015,4,RK,25-06-2019,,
Brooklyn,Bath Beach,46 Condo Store Buildings,4,6377,1127,RK,"8616 21st Avenue, 1b",0,0,0,0,3261,2015,4,RK,25-06-2019,,
Brooklyn,Bath Beach,46 Condo Store Buildings,4,6377,1132,RK,"8616 21st Avenue, 2d",0,0,0,0,6288,2015,4,RK,25-09-2019,,
Brooklyn,Bay Ridge,01 One Family Dwellings,1,5770,15,A5,824 68th Street,1,0,1,1965,1344,1940,1,A5,30-11-2018,,
Brooklyn,Bay Ridge,01 One Family Dwellings,1,5828,43,A9,561 66th Street,1,0,1,3052,1260,1899,1,A9,17-01-2019,,
Brooklyn,Bay Ridge,01 One Family Dwellings,1,5856,68,A5,551 Senator Street,1,0,1,2000,1458,1920,1,A5,01-07-2019,,
Queens,Airport La Guardia,02 Two Family Dwellings,1,976,28,B3,2146 81st Street,2,0,2,1800,1224,1950,1,B3,19-02-2019,,
Queens,Airport La Guardia,12 Condos - Walkup Apartments,2,949,1028,R2,"80-12 19th Avenue, 2",0,0,0,0,836,0,2,R2,29-01-2019,,
Queens,Arverne,01 One Family Dwellings,1,15834,22,A6,342 Beach 44th St,1,0,1,1915,563,1920,1,A6,04-10-2019,,
Queens,Arverne,01 One Family Dwellings,1,15849,16,A6,40-13 Rockaway Beach Blvd,1,0,1,2648,618,1920,1,A6,15-04-2019,,
Queens,Arverne,01 One Family Dwellings,1,15905,25,A5,6315 Ocean Avenue South,1,0,1,3029,2515,2014,1,A5,11-10-2019,,
